"band;""bandname"""
"http://dbpedia.org/resource/R5_(band);""R5 (band)"""
"http://dbpedia.org/resource/Bongzilla;""Bongzilla"""
"http://dbpedia.org/resource/Magellan_(band);""Magellan (band)"""
"http://dbpedia.org/resource/McAuley_Schenker_Group;""McAuley Schenker Group"""
"http://dbpedia.org/resource/Orbital_(band);""Orbital (band)"""
"http://dbpedia.org/resource/Blue_Cheer;""Blue Cheer"""
"http://dbpedia.org/resource/Glassjaw;""Glassjaw"""
"http://dbpedia.org/resource/The_Raincoats;""The Raincoats"""
"http://dbpedia.org/resource/Forefather;""Forefather"""
"http://dbpedia.org/resource/Stahlhammer;""Stahlhammer"""
"http://dbpedia.org/resource/Thousand_Foot_Krutch;""Thousand Foot Krutch"""
"http://dbpedia.org/resource/Ween;""Ween"""
"http://dbpedia.org/resource/Great_Lake_Swimmers;""Great Lake Swimmers"""
"http://dbpedia.org/resource/Psychopomps_(band);""Psychopomps (band)"""
"http://dbpedia.org/resource/The_Make-Up;""The Make-Up"""
"http://dbpedia.org/resource/Pink_Grease;""Pink Grease"""
"http://dbpedia.org/resource/Drudkh;""Drudkh"""
"http://dbpedia.org/resource/Halestorm;""Halestorm"""
"http://dbpedia.org/resource/Cella_Dwellas;""Cella Dwellas"""
"http://dbpedia.org/resource/The_Elvis_Brothers;""The Elvis Brothers"""
"http://dbpedia.org/resource/The_Rumble_Strips;""The Rumble Strips"""
"http://dbpedia.org/resource/Envy_on_the_Coast;""Envy on the Coast"""
"http://dbpedia.org/resource/Vains_of_Jenna;""Vains of Jenna"""
"http://dbpedia.org/resource/Candle_(band);""Candle (band)"""
"http://dbpedia.org/resource/The_Killers;""The Killers"""
"http://dbpedia.org/resource/The_Autumn_Offering;""The Autumn Offering"""
"http://dbpedia.org/resource/Misery_Inc.;""Misery Inc."""
"http://dbpedia.org/resource/Eleventyseven;""Eleventyseven"""
"http://dbpedia.org/resource/Torche_(band);""Torche (band)"""
"http://dbpedia.org/resource/Wolves_in_the_Throne_Room;""Wolves in the Throne Room"""
"http://dbpedia.org/resource/Glass_Hammer;""Glass Hammer"""
"http://dbpedia.org/resource/The_Dictators;""The Dictators"""
"http://dbpedia.org/resource/Orange_Goblin;""Orange Goblin"""
"http://dbpedia.org/resource/Thunder_(band);""Thunder (band)"""
"http://dbpedia.org/resource/Manilla_Road;""Manilla Road"""
"http://dbpedia.org/resource/Crvena_jabuka;""Crvena jabuka"""
"http://dbpedia.org/resource/Believer_(band);""Believer (band)"""
"http://dbpedia.org/resource/MercyMe;""MercyMe"""
"http://dbpedia.org/resource/Bad_Copy;""Bad Copy"""
"http://dbpedia.org/resource/Starsailor_(band);""Starsailor (band)"""
"http://dbpedia.org/resource/Spunge;""Spunge"""
"http://dbpedia.org/resource/The_Party_Boys;""The Party Boys"""
"http://dbpedia.org/resource/Cross_Canadian_Ragweed;""Cross Canadian Ragweed"""
"http://dbpedia.org/resource/The_Vogues;""The Vogues"""
"http://dbpedia.org/resource/Rocket_88_(band);""Rocket 88 (band)"""
"http://dbpedia.org/resource/The_Feelies;""The Feelies"""
"http://dbpedia.org/resource/23_Skidoo_(band);""23 Skidoo (band)"""
"http://dbpedia.org/resource/Bobby_Conn;""Bobby Conn"""
"http://dbpedia.org/resource/Compton's_Most_Wanted;""Compton's Most Wanted"""
"http://dbpedia.org/resource/Shadows_Fall;""Shadows Fall"""
"http://dbpedia.org/resource/Nazz;""Nazz"""
"http://dbpedia.org/resource/Defiance,_Ohio_(band);""Defiance, Ohio (band)"""
"http://dbpedia.org/resource/The_Outpatience;""The Outpatience"""
"http://dbpedia.org/resource/Adolescents_(band);""Adolescents (band)"""
"http://dbpedia.org/resource/X_Clan;""X Clan"""
"http://dbpedia.org/resource/Step_Brothers_(duo);""Step Brothers (duo)"""
"http://dbpedia.org/resource/Morgul;""Morgul"""
"http://dbpedia.org/resource/Heart_(band);""Heart (band)"""
"http://dbpedia.org/resource/Fang_Island;""Fang Island"""
"http://dbpedia.org/resource/Original_Flavor;""Original Flavor"""
"http://dbpedia.org/resource/My_Life_with_the_Thrill_Kill_Kult;""My Life with the Thrill Kill Kult"""
"http://dbpedia.org/resource/Nokturnal_Mortum;""Nokturnal Mortum"""
"http://dbpedia.org/resource/The_Graduate_(band);""The Graduate (band)"""
"http://dbpedia.org/resource/Millionaires_(group);""Millionaires (group)"""
"http://dbpedia.org/resource/Bulevar_(band);""Bulevar (band)"""
"http://dbpedia.org/resource/Ludo_(band);""Ludo (band)"""
"http://dbpedia.org/resource/Club_8;""Club 8"""
"http://dbpedia.org/resource/The_High_Llamas;""The High Llamas"""
"http://dbpedia.org/resource/The_Damned_(band);""The Damned (band)"""
"http://dbpedia.org/resource/Blink-182;""Blink-182"""
"http://dbpedia.org/resource/Moxy_(band);""Moxy (band)"""
"http://dbpedia.org/resource/Crosby_&_Nash;""Crosby & Nash"""
"http://dbpedia.org/resource/Godsmack;""Godsmack"""
"http://dbpedia.org/resource/Guttermouth;""Guttermouth"""
"http://dbpedia.org/resource/Poets_of_the_Fall;""Poets of the Fall"""
"http://dbpedia.org/resource/Sacred_Reich;""Sacred Reich"""
"http://dbpedia.org/resource/Kyuss;""Kyuss"""
"http://dbpedia.org/resource/Virtue_(musical_group);""Virtue (musical group)"""
"http://dbpedia.org/resource/The_Prodigy;""The Prodigy"""
"http://dbpedia.org/resource/Wings_(band);""Wings (band)"""
"http://dbpedia.org/resource/Rage_Against_the_Machine;""Rage Against the Machine"""
"http://dbpedia.org/resource/Everclear_(band);""Everclear (band)"""
"http://dbpedia.org/resource/Far_East_Movement;""Far East Movement"""
"http://dbpedia.org/resource/Hermitude;""Hermitude"""
"http://dbpedia.org/resource/Filter_(band);""Filter (band)"""
"http://dbpedia.org/resource/King_(new_wave_band);""King (new wave band)"""
"http://dbpedia.org/resource/Alkaline_Trio;""Alkaline Trio"""
"http://dbpedia.org/resource/Leftover_Salmon;""Leftover Salmon"""
"http://dbpedia.org/resource/Travis_(band);""Travis (band)"""
"http://dbpedia.org/resource/Cool_Kids_of_Death;""Cool Kids of Death"""
"http://dbpedia.org/resource/These_New_Puritans;""These New Puritans"""
"http://dbpedia.org/resource/Tír_na_nÓg_(band);""Tír na nÓg (band)"""
"http://dbpedia.org/resource/Strapping_Young_Lad;""Strapping Young Lad"""
"http://dbpedia.org/resource/OuterSpace;""OuterSpace"""
"http://dbpedia.org/resource/Desperation_Band;""Desperation Band"""
"http://dbpedia.org/resource/Nightstick_(band);""Nightstick (band)"""
"http://dbpedia.org/resource/Quando_Quango;""Quando Quango"""
"http://dbpedia.org/resource/Four_Year_Strong;""Four Year Strong"""
"http://dbpedia.org/resource/Saint_Etienne_(band);""Saint Etienne (band)"""
"http://dbpedia.org/resource/The_Drones_(Australian_band);""The Drones (Australian band)"""
"http://dbpedia.org/resource/The_Mamas_&_the_Papas;""The Mamas & the Papas"""
"http://dbpedia.org/resource/Gypsophilia;""Gypsophilia"""
"http://dbpedia.org/resource/Fear_Zero;""Fear Zero"""
"http://dbpedia.org/resource/Atrocity_(band);""Atrocity (band)"""
"http://dbpedia.org/resource/Cog_(band);""Cog (band)"""
"http://dbpedia.org/resource/Focus_(band);""Focus (band)"""
"http://dbpedia.org/resource/Echolyn;""Echolyn"""
"http://dbpedia.org/resource/Disco_Ensemble;""Disco Ensemble"""
"http://dbpedia.org/resource/General_Midi_(DJ);""General Midi (DJ)"""
"http://dbpedia.org/resource/Impious;""Impious"""
"http://dbpedia.org/resource/Jesse_&_Joy;""Jesse & Joy"""
"http://dbpedia.org/resource/T-Squad;""T-Squad"""
"http://dbpedia.org/resource/Gospel_Gangstaz;""Gospel Gangstaz"""
"http://dbpedia.org/resource/Aloud;""Aloud"""
"http://dbpedia.org/resource/The_Mae_Shi;""The Mae Shi"""
"http://dbpedia.org/resource/Dead_by_April;""Dead by April"""
"http://dbpedia.org/resource/Headswim;""Headswim"""
"http://dbpedia.org/resource/Quo_Vadis_(band);""Quo Vadis (band)"""
"http://dbpedia.org/resource/The_Flaming_Stars;""The Flaming Stars"""
"http://dbpedia.org/resource/Faith_Assembly;""Faith Assembly"""
"http://dbpedia.org/resource/The_Ghost_Is_Dancing;""The Ghost Is Dancing"""
"http://dbpedia.org/resource/Ann_Beretta;""Ann Beretta"""
"http://dbpedia.org/resource/The_Jayhawks;""The Jayhawks"""
"http://dbpedia.org/resource/Gyllene_Tider;""Gyllene Tider"""
"http://dbpedia.org/resource/Bijelo_Dugme;""Bijelo Dugme"""
"http://dbpedia.org/resource/Ethyl_Meatplow;""Ethyl Meatplow"""
"http://dbpedia.org/resource/RDB_(band);""RDB (band)"""
"http://dbpedia.org/resource/SPK_(band);""SPK (band)"""
"http://dbpedia.org/resource/Ultrasound_(band);""Ultrasound (band)"""
"http://dbpedia.org/resource/Pitura_Freska;""Pitura Freska"""
"http://dbpedia.org/resource/Rival_Schools_(band);""Rival Schools (band)"""
"http://dbpedia.org/resource/The_Sultans_of_Ping_FC;""The Sultans of Ping FC"""
"http://dbpedia.org/resource/Blue_Ash_(band);""Blue Ash (band)"""
"http://dbpedia.org/resource/Suede_(band);""Suede (band)"""
"http://dbpedia.org/resource/Black_Uhuru;""Black Uhuru"""
"http://dbpedia.org/resource/Starfucker;""Starfucker"""
"http://dbpedia.org/resource/Zhané;""Zhané"""
"http://dbpedia.org/resource/Racey;""Racey"""
"http://dbpedia.org/resource/Little_Big_Town;""Little Big Town"""
"http://dbpedia.org/resource/Incite;""Incite"""
"http://dbpedia.org/resource/The_Doppelgangaz;""The Doppelgangaz"""
"http://dbpedia.org/resource/Jape_(band);""Jape (band)"""
"http://dbpedia.org/resource/Swayzak;""Swayzak"""
"http://dbpedia.org/resource/Vibe_Tribe;""Vibe Tribe"""
"http://dbpedia.org/resource/The_Hylozoists;""The Hylozoists"""
"http://dbpedia.org/resource/Juno_Reactor;""Juno Reactor"""
"http://dbpedia.org/resource/Sandbox_(band);""Sandbox (band)"""
"http://dbpedia.org/resource/Seventh_Wonder;""Seventh Wonder"""
"http://dbpedia.org/resource/Funkstörung;""Funkstörung"""
"http://dbpedia.org/resource/Malice_Mizer;""Malice Mizer"""
"http://dbpedia.org/resource/Pretty_Boy_Floyd_(Canadian_band);""Pretty Boy Floyd (Canadian band)"""
"http://dbpedia.org/resource/Distorted;""Distorted"""
"http://dbpedia.org/resource/Original_Harmony_Ridge_Creekdippers;""Original Harmony Ridge Creekdippers"""
"http://dbpedia.org/resource/Another_Level_(band);""Another Level (band)"""
"http://dbpedia.org/resource/The_House_of_Love;""The House of Love"""
"http://dbpedia.org/resource/Dark_Angel_(band);""Dark Angel (band)"""
"http://dbpedia.org/resource/U.P.O.;""U.P.O."""
"http://dbpedia.org/resource/Deltron_3030;""Deltron 3030"""
"http://dbpedia.org/resource/Rational_Youth;""Rational Youth"""
"http://dbpedia.org/resource/Neon_Jungle;""Neon Jungle"""
"http://dbpedia.org/resource/Mt._Helium;""Mt. Helium"""
"http://dbpedia.org/resource/Sinergy;""Sinergy"""
"http://dbpedia.org/resource/Brutal_Juice;""Brutal Juice"""
"http://dbpedia.org/resource/OHM_(band);""OHM (band)"""
"http://dbpedia.org/resource/Sent_by_Ravens;""Sent by Ravens"""
"http://dbpedia.org/resource/The_Blood_Arm;""The Blood Arm"""
"http://dbpedia.org/resource/Swallow_the_Sun;""Swallow the Sun"""
"http://dbpedia.org/resource/Damien_Deadson;""Damien Deadson"""
"http://dbpedia.org/resource/The_Servants;""The Servants"""
"http://dbpedia.org/resource/Bounding_Main;""Bounding Main"""
"http://dbpedia.org/resource/Ghost_Brigade_(band);""Ghost Brigade (band)"""
"http://dbpedia.org/resource/Echo_Orbiter;""Echo Orbiter"""
"http://dbpedia.org/resource/The_Madden_Brothers;""The Madden Brothers"""
"http://dbpedia.org/resource/This_Time_Next_Year_(band);""This Time Next Year (band)"""
"http://dbpedia.org/resource/Milo_Greene;""Milo Greene"""
"http://dbpedia.org/resource/Cornershop_(band);""Cornershop (band)"""
"http://dbpedia.org/resource/John_Kahn;""John Kahn"""
"http://dbpedia.org/resource/Exhumed_(band);""Exhumed (band)"""
"http://dbpedia.org/resource/Pelt_(band);""Pelt (band)"""
"http://dbpedia.org/resource/The_Jazz_Professors;""The Jazz Professors"""
"http://dbpedia.org/resource/Hetch_Hetchy_(band);""Hetch Hetchy (band)"""
"http://dbpedia.org/resource/September_Girls;""September Girls"""
"http://dbpedia.org/resource/La_Dispute_(band);""La Dispute (band)"""
"http://dbpedia.org/resource/Cibo_Matto;""Cibo Matto"""
"http://dbpedia.org/resource/The_Bogmen;""The Bogmen"""
"http://dbpedia.org/resource/Drums_&_Tuba;""Drums & Tuba"""
"http://dbpedia.org/resource/Clean_Bandit;""Clean Bandit"""
"http://dbpedia.org/resource/John_Mark_Nelson;""John Mark Nelson"""
"http://dbpedia.org/resource/Mezzoforte_(band);""Mezzoforte (band)"""
"http://dbpedia.org/resource/Dear_Rouge;""Dear Rouge"""
"http://dbpedia.org/resource/We_as_Human;""We as Human"""
"http://dbpedia.org/resource/Indian_Ocean_(band);""Indian Ocean (band)"""
"http://dbpedia.org/resource/The_M_Machine;""The M Machine"""
"http://dbpedia.org/resource/Owl_John;""Owl John"""
"http://dbpedia.org/resource/Sense_Field;""Sense Field"""
"http://dbpedia.org/resource/Barrio_Boyzz;""Barrio Boyzz"""
"http://dbpedia.org/resource/Orleans_(band);""Orleans (band)"""
"http://dbpedia.org/resource/Sherwood_(band);""Sherwood (band)"""
"http://dbpedia.org/resource/Crimson_Death_(band);""Crimson Death (band)"""
"http://dbpedia.org/resource/The_Blow;""The Blow"""
"http://dbpedia.org/resource/Hayseed_Dixie;""Hayseed Dixie"""
"http://dbpedia.org/resource/We_Are_the_Fallen;""We Are the Fallen"""
"http://dbpedia.org/resource/Hammock_(band);""Hammock (band)"""
"http://dbpedia.org/resource/WDR_Rundfunkorchester_Köln;""WDR Rundfunkorchester Köln"""
"http://dbpedia.org/resource/Friendly_Fires;""Friendly Fires"""
"http://dbpedia.org/resource/With_Blood_Comes_Cleansing;""With Blood Comes Cleansing"""
"http://dbpedia.org/resource/Fever_Tree_(band);""Fever Tree (band)"""
"http://dbpedia.org/resource/Experience_Unlimited;""Experience Unlimited"""
"http://dbpedia.org/resource/The_Black_Maria;""The Black Maria"""
"http://dbpedia.org/resource/Kikki,_Bettan_&_Lotta;""Kikki, Bettan & Lotta"""
"http://dbpedia.org/resource/Group_Home;""Group Home"""
"http://dbpedia.org/resource/Spitalfield;""Spitalfield"""
"http://dbpedia.org/resource/Elvenking_(band);""Elvenking (band)"""
"http://dbpedia.org/resource/Sinai_Beach;""Sinai Beach"""
"http://dbpedia.org/resource/Maicol_&_Manuel;""Maicol & Manuel"""
"http://dbpedia.org/resource/Revolverheld;""Revolverheld"""
"http://dbpedia.org/resource/Getto_&_Gastam;""Getto & Gastam"""
"http://dbpedia.org/resource/Sugarland;""Sugarland"""
"http://dbpedia.org/resource/DeeExpus;""DeeExpus"""
"http://dbpedia.org/resource/Flash_and_the_Pan;""Flash and the Pan"""
"http://dbpedia.org/resource/Dezerter;""Dezerter"""
"http://dbpedia.org/resource/Man_Raze;""Man Raze"""
"http://dbpedia.org/resource/Alex_&_Nilusha;""Alex & Nilusha"""
"http://dbpedia.org/resource/Free_Energy_(band);""Free Energy (band)"""
"http://dbpedia.org/resource/Flowerhead;""Flowerhead"""
"http://dbpedia.org/resource/Empire_of_the_Sun_(band);""Empire of the Sun (band)"""
"http://dbpedia.org/resource/Everfound_(band);""Everfound (band)"""
"http://dbpedia.org/resource/Demigodz;""Demigodz"""
"http://dbpedia.org/resource/7_Days_of_Funk_(group);""7 Days of Funk (group)"""
"http://dbpedia.org/resource/Dimmi_Argus;""Dimmi Argus"""
"http://dbpedia.org/resource/Little_Man_Tate_(band);""Little Man Tate (band)"""
"http://dbpedia.org/resource/Ongaku_Gatas;""Ongaku Gatas"""
"http://dbpedia.org/resource/The_Solution_(band);""The Solution (band)"""
"http://dbpedia.org/resource/North_Mississippi_Allstars;""North Mississippi Allstars"""
"http://dbpedia.org/resource/England_Dan_&_John_Ford_Coley;""England Dan & John Ford Coley"""
"http://dbpedia.org/resource/Masta_Ace_Incorporated;""Masta Ace Incorporated"""
"http://dbpedia.org/resource/Sneeze_(band);""Sneeze (band)"""
"http://dbpedia.org/resource/Exit_Ten;""Exit Ten"""
"http://dbpedia.org/resource/Das_Oath;""Das Oath"""
"http://dbpedia.org/resource/Meldrum;""Meldrum"""
"http://dbpedia.org/resource/Pony_Up;""Pony Up"""
"http://dbpedia.org/resource/Nurses_(band);""Nurses (band)"""
"http://dbpedia.org/resource/Rolabogan;""Rolabogan"""
"http://dbpedia.org/resource/The_Detroit_Emeralds;""The Detroit Emeralds"""
"http://dbpedia.org/resource/Sol_D'Menta;""Sol D'Menta"""
"http://dbpedia.org/resource/The_Cape_Race;""The Cape Race"""
"http://dbpedia.org/resource/El_Perro_del_Mar;""El Perro del Mar"""
"http://dbpedia.org/resource/Orange_Caramel;""Orange Caramel"""
"http://dbpedia.org/resource/Rossington_Collins_Band;""Rossington Collins Band"""
"http://dbpedia.org/resource/Retribution_Gospel_Choir;""Retribution Gospel Choir"""
"http://dbpedia.org/resource/Oh_My_Girl;""Oh My Girl"""
"http://dbpedia.org/resource/M83_(band);""M83 (band)"""
"http://dbpedia.org/resource/Sky_Larkin;""Sky Larkin"""
"http://dbpedia.org/resource/Octopus_(Scottish_band);""Octopus (Scottish band)"""
"http://dbpedia.org/resource/The_Mabuses;""The Mabuses"""
"http://dbpedia.org/resource/Wakefield_(band);""Wakefield (band)"""
"http://dbpedia.org/resource/The_Dukes_of_Stratosphear;""The Dukes of Stratosphear"""
"http://dbpedia.org/resource/Nitro_(band);""Nitro (band)"""
"http://dbpedia.org/resource/The_Quarrymen;""The Quarrymen"""
"http://dbpedia.org/resource/Scraper_(band);""Scraper (band)"""
"http://dbpedia.org/resource/Girlyman;""Girlyman"""
"http://dbpedia.org/resource/Kukeiha_Club;""Kukeiha Club"""
"http://dbpedia.org/resource/Marshmallow_Coast;""Marshmallow Coast"""
"http://dbpedia.org/resource/Bis_(band);""Bis (band)"""
"http://dbpedia.org/resource/The_Alter_Boys;""The Alter Boys"""
"http://dbpedia.org/resource/Flee_the_Seen;""Flee the Seen"""
"http://dbpedia.org/resource/Altern-8;""Altern-8"""
"http://dbpedia.org/resource/Mars_(band);""Mars (band)"""
"http://dbpedia.org/resource/Lustra_(band);""Lustra (band)"""
"http://dbpedia.org/resource/Stutterfly;""Stutterfly"""
"http://dbpedia.org/resource/The_Minders;""The Minders"""
"http://dbpedia.org/resource/Triakel;""Triakel"""
"http://dbpedia.org/resource/Old_Canes;""Old Canes"""
"http://dbpedia.org/resource/Viva_Voce_(band);""Viva Voce (band)"""
"http://dbpedia.org/resource/Cirith_Gorgor;""Cirith Gorgor"""
"http://dbpedia.org/resource/Sunday's_Best;""Sunday's Best"""
"http://dbpedia.org/resource/Fivespeed;""Fivespeed"""
"http://dbpedia.org/resource/Rixton_(band);""Rixton (band)"""
"http://dbpedia.org/resource/Bengt_Hennings;""Bengt Hennings"""
"http://dbpedia.org/resource/Grails_(band);""Grails (band)"""
"http://dbpedia.org/resource/Fusebox_(band);""Fusebox (band)"""
"http://dbpedia.org/resource/Verah_Falls;""Verah Falls"""
"http://dbpedia.org/resource/S.O.A.P._(band);""S.O.A.P. (band)"""
"http://dbpedia.org/resource/Kaamos_(Swedish_band);""Kaamos (Swedish band)"""
"http://dbpedia.org/resource/Dynamite_Boy;""Dynamite Boy"""
"http://dbpedia.org/resource/The_Anchoress_(musician);""The Anchoress (musician)"""
"http://dbpedia.org/resource/Karol_Gwóźdź;""Karol Gwóźdź"""
"http://dbpedia.org/resource/Brain_Dead_(band);""Brain Dead (band)"""
"http://dbpedia.org/resource/Confide;""Confide"""
"http://dbpedia.org/resource/The_Jeevas;""The Jeevas"""
"http://dbpedia.org/resource/Hardware_(band);""Hardware (band)"""
"http://dbpedia.org/resource/Slapstick_(band);""Slapstick (band)"""
"http://dbpedia.org/resource/Wild_Belle;""Wild Belle"""
"http://dbpedia.org/resource/Archie_Bell_&_the_Drells;""Archie Bell & the Drells"""
"http://dbpedia.org/resource/The_Blizzards;""The Blizzards"""
"http://dbpedia.org/resource/Tunnel_Rats_(music_group);""Tunnel Rats (music group)"""
"http://dbpedia.org/resource/Analog_Brothers;""Analog Brothers"""
"http://dbpedia.org/resource/The_Idoru;""The Idoru"""
"http://dbpedia.org/resource/Northern_State_(band);""Northern State (band)"""
"http://dbpedia.org/resource/Nine_Pound_Hammer;""Nine Pound Hammer"""
"http://dbpedia.org/resource/Janvs;""Janvs"""
"http://dbpedia.org/resource/Noise_Viola;""Noise Viola"""
"http://dbpedia.org/resource/Squirrel_Bait;""Squirrel Bait"""
"http://dbpedia.org/resource/Crime_(band);""Crime (band)"""
"http://dbpedia.org/resource/The_Scabs;""The Scabs"""
"http://dbpedia.org/resource/Brutus_(Norwegian_band);""Brutus (Norwegian band)"""
"http://dbpedia.org/resource/Middle_Brother_(band);""Middle Brother (band)"""
"http://dbpedia.org/resource/Ernie_and_the_Emperors;""Ernie and the Emperors"""
"http://dbpedia.org/resource/Barrage_(group);""Barrage (group)"""
"http://dbpedia.org/resource/Dagoba_(band);""Dagoba (band)"""
"http://dbpedia.org/resource/Deepsky;""Deepsky"""
"http://dbpedia.org/resource/Katafalk;""Katafalk"""
"http://dbpedia.org/resource/Singing_Priests_of_Tagbilaran;""Singing Priests of Tagbilaran"""
"http://dbpedia.org/resource/The_Cheeky_Girls;""The Cheeky Girls"""
"http://dbpedia.org/resource/Blac_Monks;""Blac Monks"""
"http://dbpedia.org/resource/This_Day_and_Age;""This Day and Age"""
"http://dbpedia.org/resource/A_Different_Breed_of_Killer;""A Different Breed of Killer"""
"http://dbpedia.org/resource/Spain_(band);""Spain (band)"""
"http://dbpedia.org/resource/Grave_Plott;""Grave Plott"""
"http://dbpedia.org/resource/Viva_Machine;""Viva Machine"""
"http://dbpedia.org/resource/Linus_Loves;""Linus Loves"""
"http://dbpedia.org/resource/Pigbag;""Pigbag"""
"http://dbpedia.org/resource/Iamthemorning;""Iamthemorning"""
"http://dbpedia.org/resource/Art_of_Anarchy;""Art of Anarchy"""
"http://dbpedia.org/resource/Teen_Suicide_(band);""Teen Suicide (band)"""
"http://dbpedia.org/resource/Thor's_Hammer_(band);""Thor's Hammer (band)"""
"http://dbpedia.org/resource/Viola_Beach;""Viola Beach"""
"http://dbpedia.org/resource/The_Wainwright_Sisters;""The Wainwright Sisters"""
"http://dbpedia.org/resource/Veruca_Salt;""Veruca Salt"""
"http://dbpedia.org/resource/Audio_Adrenaline;""Audio Adrenaline"""
"http://dbpedia.org/resource/King_Diamond_(band);""King Diamond (band)"""
"http://dbpedia.org/resource/Les_Georges_Leningrad;""Les Georges Leningrad"""
"http://dbpedia.org/resource/Old_Crow_Medicine_Show;""Old Crow Medicine Show"""
"http://dbpedia.org/resource/People_Under_the_Stairs;""People Under the Stairs"""
"http://dbpedia.org/resource/The_Whitlams;""The Whitlams"""
"http://dbpedia.org/resource/Youth_Gone_Mad;""Youth Gone Mad"""
"http://dbpedia.org/resource/The_Highwaymen_(country_supergroup);""The Highwaymen (country supergroup)"""
"http://dbpedia.org/resource/De_Dijk;""De Dijk"""
"http://dbpedia.org/resource/Manga_(band);""Manga (band)"""
"http://dbpedia.org/resource/Breakestra;""Breakestra"""
"http://dbpedia.org/resource/The_Outfield;""The Outfield"""
"http://dbpedia.org/resource/ZZ_Top;""ZZ Top"""
"http://dbpedia.org/resource/The_Alan_Parsons_Project;""The Alan Parsons Project"""
"http://dbpedia.org/resource/Public_Image_Ltd;""Public Image Ltd"""
"http://dbpedia.org/resource/Nachtmystium;""Nachtmystium"""
"http://dbpedia.org/resource/A_Perfect_Circle;""A Perfect Circle"""
"http://dbpedia.org/resource/Dark_Tranquillity;""Dark Tranquillity"""
"http://dbpedia.org/resource/The_Get_Up_Kids;""The Get Up Kids"""
"http://dbpedia.org/resource/The_Waterboys;""The Waterboys"""
"http://dbpedia.org/resource/Oxide_&_Neutrino;""Oxide & Neutrino"""
"http://dbpedia.org/resource/Spacehog;""Spacehog"""
"http://dbpedia.org/resource/Whirlwind_Heat;""Whirlwind Heat"""
"http://dbpedia.org/resource/The_Mothers_of_Invention;""The Mothers of Invention"""
"http://dbpedia.org/resource/Hel_(band);""Hel (band)"""
"http://dbpedia.org/resource/The_Flys_(US_band);""The Flys (US band)"""
"http://dbpedia.org/resource/Tony_Orlando_and_Dawn;""Tony Orlando and Dawn"""
"http://dbpedia.org/resource/Ścianka;""Ścianka"""
"http://dbpedia.org/resource/Prime_Circle;""Prime Circle"""
"http://dbpedia.org/resource/Sodom_(band);""Sodom (band)"""
"http://dbpedia.org/resource/Constantines;""Constantines"""
"http://dbpedia.org/resource/Maroon_5;""Maroon 5"""
"http://dbpedia.org/resource/A_(band);""A (band)"""
"http://dbpedia.org/resource/Captain_&_Tennille;""Captain & Tennille"""
"http://dbpedia.org/resource/Melvins;""Melvins"""
"http://dbpedia.org/resource/Skyforger;""Skyforger"""
"http://dbpedia.org/resource/Apollo_Sunshine;""Apollo Sunshine"""
"http://dbpedia.org/resource/As_Fast_As;""As Fast As"""
"http://dbpedia.org/resource/Mokoma;""Mokoma"""
"http://dbpedia.org/resource/Saosin;""Saosin"""
"http://dbpedia.org/resource/Scar_Symmetry;""Scar Symmetry"""
"http://dbpedia.org/resource/Hassisen_Kone;""Hassisen Kone"""
"http://dbpedia.org/resource/Myriads;""Myriads"""
"http://dbpedia.org/resource/Vorkreist;""Vorkreist"""
"http://dbpedia.org/resource/The_Rocking_Horse_Winner_(band);""The Rocking Horse Winner (band)"""
"http://dbpedia.org/resource/Astrofaes;""Astrofaes"""
"http://dbpedia.org/resource/Lifter_Puller;""Lifter Puller"""
"http://dbpedia.org/resource/Restless_Heart;""Restless Heart"""
"http://dbpedia.org/resource/Eyes_(band);""Eyes (band)"""
"http://dbpedia.org/resource/Goes_Cube;""Goes Cube"""
"http://dbpedia.org/resource/One_for_the_Team;""One for the Team"""
"http://dbpedia.org/resource/Mother_Goose_(band);""Mother Goose (band)"""
"http://dbpedia.org/resource/Rock_Plaza_Central;""Rock Plaza Central"""
"http://dbpedia.org/resource/We_Start_Fires;""We Start Fires"""
"http://dbpedia.org/resource/Emmure;""Emmure"""
"http://dbpedia.org/resource/Goldie_Lookin_Chain;""Goldie Lookin Chain"""
"http://dbpedia.org/resource/Lake_(German_band);""Lake (German band)"""
"http://dbpedia.org/resource/Tantric_(band);""Tantric (band)"""
"http://dbpedia.org/resource/Cinema_Bizarre;""Cinema Bizarre"""
"http://dbpedia.org/resource/Katmandu_(band);""Katmandu (band)"""
"http://dbpedia.org/resource/Kronos_Quartet;""Kronos Quartet"""
"http://dbpedia.org/resource/Graveworm;""Graveworm"""
"http://dbpedia.org/resource/Infernal_(Danish_band);""Infernal (Danish band)"""
"http://dbpedia.org/resource/Smokie_(band);""Smokie (band)"""
"http://dbpedia.org/resource/YFriday;""YFriday"""
"http://dbpedia.org/resource/Ava_Inferi;""Ava Inferi"""
"http://dbpedia.org/resource/Esplendor_Geometrico;""Esplendor Geometrico"""
"http://dbpedia.org/resource/Dead_Hot_Workshop;""Dead Hot Workshop"""
"http://dbpedia.org/resource/Coronatus;""Coronatus"""
"http://dbpedia.org/resource/Terror_Syndrome;""Terror Syndrome"""
"http://dbpedia.org/resource/Portugal._The_Man;""Portugal. The Man"""
"http://dbpedia.org/resource/Van_She;""Van She"""
"http://dbpedia.org/resource/Meursault_(band);""Meursault (band)"""
"http://dbpedia.org/resource/Urma_Sellinger;""Urma Sellinger"""
