"http://dbpedia.org/resource/Babymetal;""Heavy metal"""
"http://dbpedia.org/resource/Babymetal;""Kawaii Metal"""
"http://dbpedia.org/resource/Dying_Machines;""Shoegazing"""
"http://dbpedia.org/resource/Dying_Machines;""Ambient music"""
"http://dbpedia.org/resource/Dying_Machines;""Post-rock"""
"http://dbpedia.org/resource/The_Besnard_Lakes;""Indie rock"""
"http://dbpedia.org/resource/The_Besnard_Lakes;""Indietronica"""
"http://dbpedia.org/resource/The_Besnard_Lakes;""Post-rock"""
"http://dbpedia.org/resource/Aranis;""Minimal music"""
"http://dbpedia.org/resource/Chris_Robinson_Brotherhood;""Psychedelic rock"""
"http://dbpedia.org/resource/Chris_Robinson_Brotherhood;""Jam band"""
"http://dbpedia.org/resource/Chris_Robinson_Brotherhood;""Blues rock"""
"http://dbpedia.org/resource/Straight_Faced;""Punk rock"""
"http://dbpedia.org/resource/Straight_Faced;""Hardcore punk"""
"http://dbpedia.org/resource/Straight_Faced;""Alternative metal"""
"http://dbpedia.org/resource/City_Harbor;""Pop rock"""
"http://dbpedia.org/resource/City_Harbor;""Contemporary Christian music"""
"http://dbpedia.org/resource/Nana_Grizol;""Indie rock"""
"http://dbpedia.org/resource/Nana_Grizol;""Indietronica"""
"http://dbpedia.org/resource/Nana_Grizol;""Indie folk"""
"http://dbpedia.org/resource/Nana_Grizol;""Lo-fi"""
"http://dbpedia.org/resource/Into_It._Over_It.;""Emo"""
"http://dbpedia.org/resource/Into_It._Over_It.;""Indie rock"""
"http://dbpedia.org/resource/Into_It._Over_It.;""Indietronica"""
"http://dbpedia.org/resource/Aisles;""Art rock"""
"http://dbpedia.org/resource/Aisles;""Progressive rock"""
"http://dbpedia.org/resource/Cosmos_(band);""Pop music"""
"http://dbpedia.org/resource/Tennis_(band);""Surf music"""
"http://dbpedia.org/resource/Tennis_(band);""Lo-fi"""
"http://dbpedia.org/resource/Tennis_(band);""Indie pop"""
"http://dbpedia.org/resource/For_King_&_Country_(band);""Soft rock"""
"http://dbpedia.org/resource/For_King_&_Country_(band);""Alternative rock"""
"http://dbpedia.org/resource/Ibeyi;""Soul"""
"http://dbpedia.org/resource/Ibeyi;""Contemporary R&B"""
"http://dbpedia.org/resource/Ibeyi;""Downtempo"""
"http://dbpedia.org/resource/Alaska!;""Indie rock"""
"http://dbpedia.org/resource/Alaska!;""Indietronica"""
"http://dbpedia.org/resource/Waterparks_(band);""Pop punk"""
"http://dbpedia.org/resource/The_Dead_Rabbitts;""Metalcore"""
"http://dbpedia.org/resource/The_Dead_Rabbitts;""Avant-garde metal"""
"http://dbpedia.org/resource/The_Dead_Rabbitts;""Post-hardcore"""
"http://dbpedia.org/resource/Dan_+_Shay;""Country music"""
"http://dbpedia.org/resource/DHT_(band);""Hi-NRG"""
"http://dbpedia.org/resource/DHT_(band);""trance"""
"http://dbpedia.org/resource/DHT_(band);""Hardstyle"""
"http://dbpedia.org/resource/DHT_(band);""Eurodance"""
